title,claim,verdict,url,date
"No, the ocean is not ‘cooling’, contrary to viral claims – it’s been warming at an accelerating rate","Global ocean temperatures have been cooling, proving there is no global warming.",Inaccurate,https://science.feedback.org/review/no-ocean-not-cooling-contrary-viral-claims-its-been-warming-at-accelerating-rate/,2025-08-06
"Misleading U.S. Department of Energy climate report chooses bias over science, climate scientists say","Whether all that additional carbon dioxide is a function of human activity, that’s still debatable.",Incorrect,https://science.feedback.org/review/misleading-u-s-department-energy-climate-report-chooses-bias-over-science-climate-scientists-say/,2025-08-05
"Study finds Southern Ocean’s surface is becoming saltier and losing sea ice, not experiencing an ‘ocean current reversal’",New study finds a major current in the Southern Ocean has reversed.,Inaccurate,https://science.feedback.org/review/study-finds-southern-oceans-surface-becoming-saltier-losing-sea-ice-not-experiencing-ocean-current-reversal/,2025-07-21
"Texas floods not caused by cloud seeding or dam release, but likely worsened by climate change",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/review/texas-floods-not-caused-by-cloud-seeding-dam-release-but-likely-worsened-climate-change/,2025-07-11
"Antarctica recently gained some ice; that doesn’t mark the end of ice loss, global warming or sea-level rise, contrary to viral claims","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/review/antarctica-recently-gained-some-ice-that-doesnt-mark-end-ice-loss-global-warming-sea-level-rise-contrary-viral-claims/,2025-05-15
"There’s no doubt on CO2’s role in climate change, despite Jordan Peterson and Joe Rogan’s claims","Whether all that additional carbon dioxide is a function of human activity, that’s still debatable.",Incorrect,https://science.feedback.org/review/no-doubt-on-co2s-role-despite-peterson-rogans-claims-2/,2025-05-07
"84% of the world’s reefs recently experienced bleaching-level heat stress, but not all were ‘completely bleached’",More than 80% of the world’s reefs hit by bleaching.,Lacks context,https://science.feedback.org/review/84-of-the-worlds-reefs-recently-experienced-bleaching-level-heat-stress-but-not-all-were-completely-bleached/,2025-05-02
What is peer-review? Why one ‘peer-reviewed’ Grok-written paper doesn’t disprove climate change,The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/review/why-peer-reviewed-grok-written-paper-doesnt-disprove-climate-change/,2025-04-09
"Long-lasting contrails aren’t proof of chemtrails, and they aren’t caused by aluminum, barium, or other metals","Aircraft are spraying chemical gas with traces of aluminum, barium, and other metals to manipulate the weather by blocking the sun and creating chemical rains and fogs.",Inaccurate,https://science.feedback.org/review/long-lasting-contrails-not-proof-of-chemtrails/,2025-02-21
"Wildfires in LA influenced by Santa Ana winds and dry vegetation; climate change a likely factor, contrary to viral misinformation",,,https://science.feedback.org/review/wildfires-in-la-influenced-by-santa-ana-winds-and-dry-vegetation-climate-change-a-likely-factor-contrary-to-viral-misinformation/,2025-01-22
